PREFERRED_NAME,INCHIKEY,SMILES
Undecafluoropentyl 2-methylprop-2-enoate,BWIUYRXKEFSAJX-UHFFFAOYSA-N,C=C(C)C(=O)OC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-Icosafluoroundecyl methacrylate",KDUYSMPJTYKVBA-UHFFFAOYSA-N,C=C(C)C(=O)OC(C(C(C(C(C(C(C(C(C(CF)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,21-Hentetracontafluorohenicosyl 2-methylprop-2-enoate",QWUFNQYGXMUGOZ-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Henicosafluoroundecyl methacrylate",QDIWIWGKFGVURE-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecyl 2-methylprop-2-enoate",NSSMHXVPVQADLY-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluorononyl methacrylate",ZDXYSIRXXGOEEA-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"1H,1H,9H-perfluorononyl methacrylate",XAENZTGUQXVFPQ-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl methacrylate",RUEKTOVLVIXOHT-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
(Perfluorohexyl)methyl methacrylate,OGTUUPXNYCOCKQ-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
(6H-Perfluorohexyl)methyl methacrylate,YJKHMSPWWGBKTN-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,6,6,6-Undecafluorohexyl 2-methylprop-2-enoate",AMFSMDRXAVOFCS-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F
"2,2,3,3,4,4,5,5,5-Nonafluoropentyl methacrylate",XBZLJCYNLZUIGP-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
"1H,1H,5H-Perfluoropentyl methacrylate",ZNJXRXXJPIFFAO-UHFFFAOYSA-N,C=C(C)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F
